Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-02T13:49:58.641Z","Included","auto","No","3716","1585","25920","1165","32386","0.02"
"2025-11-02T13:13:52.213Z","Included","auto","No","14859","1776","202943","3906","223484","0.09"
"2025-11-02T13:13:29.767Z","Included","auto","No","2488","1005","11946","601","16040","0.01"
"2025-11-02T12:49:47.132Z","Included","auto","No","9784","1138","29208","2598","42728","0.04"
"2025-11-02T12:36:09.953Z","Included","auto","No","22338","1888","273985","7827","306038","0.15"
"2025-11-02T12:34:20.873Z","Included","auto","No","8467","1343","41777","2980","54567","0.04"
"2025-11-02T09:58:18.331Z","Included","auto","No","24834","3612","129464","5873","163783","0.10"
"2025-11-02T09:39:28.866Z","Included","auto","No","3119","1365","37846","1629","43959","0.02"
"2025-11-02T06:40:37.499Z","Included","auto","No","0","1320","0","18","1338","0.002"
"2025-11-01T15:14:05.509Z","Included","auto","No","65086","1745","52534","9073","128438","0.15"
"2025-11-01T15:10:25.585Z","Included","auto","No","4043","1118","73236","1666","80063","0.03"
"2025-11-01T15:08:15.146Z","Included","auto","No","5961","1056","89525","2554","99096","0.05"
"2025-11-01T15:05:04.590Z","Included","auto","No","5012","1319","91699","2434","100464","0.05"
"2025-11-01T15:04:33.636Z","Included","auto","No","4474","1144","12559","789","18966","0.01"
"2025-10-31T14:51:39.642Z","Included","auto","No","10595","3016","387838","3103","404552","0.13"
"2025-10-31T14:48:06.261Z","Included","auto","No","32394","1309","192387","2439","228529","0.10"
"2025-10-31T14:45:47.504Z","Included","auto","No","18192","4500","79605","3329","105626","0.07"
"2025-10-31T14:33:46.643Z","Included","auto","No","12778","4622","77323","2904","97627","0.06"
"2025-10-31T14:04:48.996Z","Included","auto","No","8496","1172","79231","1613","90512","0.04"
"2025-10-31T13:59:40.014Z","Included","auto","No","10274","1123","45427","1596","58420","0.04"
"2025-10-31T12:13:03.523Z","Included","auto","No","52894","54246","541049","1313","649502","0.28"
"2025-10-31T12:08:00.791Z","Included","auto","No","55271","2282","853961","6260","917774","0.32"
"2025-10-28T14:24:13.582Z","Included","auto","No","0","4356","0","14","4370","0.01"
"2025-10-28T14:10:47.153Z","Included","auto","No","7047","1022","41792","1007","50868","0.03"
"2025-10-28T14:04:14.264Z","Included","auto","No","109234","3672","1116875","2818","1232599","0.44"
"2025-10-28T14:00:56.970Z","Included","auto","No","10881","3205","180323","2736","197145","0.08"
"2025-10-28T13:56:27.398Z","Included","auto","No","1000","1009","43938","466","46413","0.02"
"2025-10-28T13:54:49.810Z","Included","auto","No","13524","2669","177352","2318","195863","0.08"
"2025-10-28T13:08:40.243Z","Included","auto","No","2481","2686","31901","1183","38251","0.02"
"2025-10-28T13:07:49.525Z","Included","auto","No","7203","3086","36014","334","46637","0.02"
"2025-10-28T08:37:57.418Z","Included","auto","No","0","5395","0","14","5409","0.01"
